book_id,title,author,publisher,creation_date,pub_date,item_type,location_code,material_type,barcode,publication_place,language,descripton,loans
1,The textual tradition of Plato's Republic /,"Boter, Gerard",Brill,2016-08-03T01:02:20Z,1988,Book - Physical,GEN,Book,31175016720354,Leiden ; New York :,eng,NA,1
2,Intellectual trends in twentieth-century Iran : a critical survey /,NA,University Press of Florida,2016-08-03T01:02:26Z,©2003.,Book - Physical,GEN,Book,31175027932113,"Gainesville, FL :",eng,NA,1
3,The last redwoods and the parkland of Redwood Creek /,"Leydet, François, 1927-1997.",Sierra Club,2016-08-03T01:02:29Z,[1969],Book - Physical,GEN,Book,31175004090265,[San Francisco],eng,NA,1
4,Large lakes : ecological structure and function /,NA,Springer-Verlag,2016-08-03T01:02:30Z,©1990.,Book - Physical,GEN,Book,31175013500353,Berlin ; New York :,eng,NA,1
5,"Ruling suburbia : John J. McClure and the Republican machine in Delaware County, Pennsylvania /","McLarnon, John Morrison, 1949-",Associated University Presses; University of Delaware Press,2016-08-03T01:02:37Z,©2003.,Book - Physical,GEN,Book,31175027932717,Newark : London :,eng,NA,1
6,Laser diode modulation and noise /,"Petermann, K. (Klaus)",Sold and distributed in the USA and Canada by Kluwer Academic Publishers; KTK Scientific Publishers; Kluwer Academic Publishers,2016-08-03T01:02:42Z,©1988.,Book - Physical,GEN,Book,31175012899756,"Dordrecht ; Boston : Tokyo : Norwell, MA :",eng,NA,1
7,"Modernización capitalista, racismo y violencia : Guatemala (1750-1930) /","González-Izás, Matilde, author",El Colegio de México,2016-08-03T01:02:43Z,2014,Book - Physical,GEN,Book,31175036219395,"México, D.F. :",spa,NA,1
8,Werke : grosse kommentierte Berliner und Frankfurter Ausgabe /,"Brecht, Bertolt, 1898-1956.",Suhrkamp Verlag; Aufbau-Verlag,2016-08-03T01:02:44Z,1988-2000.,Book - Physical,GEN,Book,31175014691912,Berlin ; Weimar : Frankfurt am Main :,ger,v.17,1
9,Three decades of engendering history : selected works of Antonia I. Castañeda /,"Castañeda, Antonia, author editor interviewee.",University of North Texas Press,2016-08-03T01:02:46Z,2014.,Book - Physical,GEN,Book,31175036241472,"Denton, Texas :",eng,NA,1
10,"Cannon's Point Plantation, 1794-1860 : living conditions and status patterns in the old South /","Otto, John Solomon.",Academic Press,2016-08-03T01:02:45Z,1984.,Book - Physical,GEN,Book,31175010869678,New York :,eng,NA,1
11,Capoeira Angola; ensaio sócio-etnográfico.,"Rego, Waldeloir.",Gráf Lux,2016-08-03T01:02:48Z,1968.,Book - Physical,GEN,Book,31175011800060,"[Rio de Janeiro,",por,NA,1
12,Victor Turner and the construction of cultural criticism : between literature and anthropology /,NA,Indiana University Press,2016-08-03T01:03:04Z,©1990.,Book - Physical,GEN,Book,31175015025243,Bloomington :,eng,NA,1
13,Sechs italienische Sonaten : für Querflöte und Basso continuo = Six Italian sonatas : for transverse flute and basso continuo /,"Quantz, Johann Joachim, 1697-1773.",Amadeus,2016-08-03T01:03:09Z,2012.,Notated music - Physical,GEN,Music,31175035574683,"Winterthur, Schweiz :",zxx,NA,1
14,Spiritual ecology : a quiet revolution /,"Sponsel, Leslie E. 1943- (Leslie Elmer),",Praeger,2016-08-03T01:03:07Z,©2012.,Book - Physical,GEN,Book,31175034641699,Santa Barbara :,eng,NA,1
15,Picturing the true form : Daoist visual culture in traditional China /,"Huang, Shih-shan Susan",Distributed by Harvard University Press; Harvard University Asia Center,2016-08-03T01:03:12Z,2012,Book - Physical,GEN,Book,31175034755994,"Cambridge, Mass. :",eng,NA,1
16,Plato's moral realism : the discovery of the presuppositions of ethics /,"Rist, John M",Catholic University of America Press,2016-08-03T01:03:10Z,"[2012], ©2012",Book - Physical,GEN,Book,31175034763717,"Washington, D.C. :",eng,NA,1
17,Evolución política del pueblo mexicano /,"Sierra, Justo, 1848-1912.",Biblioteca Ayacucho,2016-08-03T01:03:23Z,[1977],Book - Physical,GEN,Book,31175007356960,[Caracas] :,spa,NA,1
18,Gramática elemental del gallego común /,"Carvalho Calero, Ricardo.",Galaxia,2016-08-03T01:03:26Z,1979.,Book - Physical,GEN,Book,31175007572244,[Vigo] :,lat,NA,1
19,The Excluded past : archaeology in education /,NA,Unwin Hyman,2016-08-03T01:03:39Z,1990.,Book - Physical,GEN,Book,31175015139531,London ; Boston :,eng,NA,1
20,Classical horizons : the origins of sociology in ancient Greece /,"McCarthy, George E.",State University of New York Press,2016-08-03T01:03:49Z,©2003.,Book - Physical,GEN,Book,31175027948515,Albany :,eng,NA,1
21,"Jews, Turks, Ottomans : a shared history, fifteenth through the twentieth century /",NA,Syracuse University Press,2016-08-03T01:03:52Z,2002.,Book - Physical,GEN,Book,31175027696148,"Syracuse, N.Y. :",eng,NA,1
22,The critique of the state /,"Bartelson, Jens.",Cambridge University Press,2016-08-03T01:03:58Z,2001.,Book - Physical,GEN,Book,31175028136508,Cambridge ; New York :,eng,NA,1
23,Second World War /,"Gilbert, Martin, 1936-2015.",Weidenfeld and Nicolson,2016-08-03T01:04:22Z,©1989.,Book - Physical,GEN,Book,31175019993487,London :,eng,NA,1
24,An organizer's tale : speeches /,"Chavez, Cesar, 1927-1993.",Penguin Group,2016-08-03T01:04:40Z,2008.,Book - Physical,GEN,Book,31175031842886,New York :,eng,NA,1
25,Fungicide resistance in crop protection : risk and management /,NA,CABI,2016-08-03T01:04:42Z,c2012.,Book - Physical,GEN,Book,31175034593692,"Wallingford, Oxfordshire ; Cambridge, MA :",eng,NA,1
26,When I was a child I read books /,"Robinson, Marilynne, author.",Farrar Straus and Giroux,2016-08-03T01:04:43Z,2012.,Book - Physical,GEN,Book,31175034570534,New York :,eng,NA,1
27,The race for what's left : the global scramble for the world's last resources /,"Klare, Michael T., 1942-",Metropolitan Books,2016-08-03T01:04:48Z,2012.,Book - Physical,GEN,Book,31175034566706,New York :,eng,NA,1
28,Die Fliegen der palaearktischen Region.,"Lindner, Erwin.",E Schweizerbart,2016-08-03T01:04:49Z,1924,Other Serial - Physical,GEN,Journal,31175031082665,Stuttgart :,ger,v.8,1
29,Handbook of heterogeneous catalysis /,NA,John Wiley distributor; Wiley-VCH,2016-08-03T01:04:50Z,©2008.,Book - Physical,GEN,Book,31175033421408,Weinheim : [Chichester] :,eng,v.1,1
30,Black and white in colour : African history on screen /,NA,Double Storey; Ohio University Press; James Currey,2016-08-03T01:04:53Z,2007.,Book - Physical,GEN,Book,31175031654125,Oxford : Athens : Cape Town :,eng,NA,1
31,"Kara Walker : my complement, my enemy, my oppressor, my love /","Walker, Kara Elizabeth, artist.",Walker Art Center,2016-08-03T01:04:53Z,[2007],Book - Physical,GEN,Book,31175031317020,Minneapolis :,eng,NA,1
32,Wilderness defender : Horace M. Albright and conservation /,"Swain, Donald C.",University of Chicago Press,2016-08-03T01:05:20Z,[1970],Book - Physical,GEN,Book,31175001086175,Chicago :,eng,NA,1
33,Wild and wonderful flowers for your home /,"Fleck, Irma.",Timber Press,2016-08-03T01:05:22Z,c1989.,Book - Physical,GEN,Book,31175013088953,"Portland, Or. :",eng,NA,1
34,"The architecture of conquest : building in the Viceroyalty of Peru, 1535-1635 /","Fraser, Valerie.",Cambridge University Press,2016-08-03T01:05:31Z,1990.,Book - Physical,GEN,Book,31175013461028,Cambridge [England] ; New York :,eng,NA,1
35,Early English Text Society.,NA,Published for the Early English Text Society by K Paul Trench Trübner & Co and by H Milford Oxford University Press,2016-08-03T01:05:39Z,1864,Other Serial - Physical,GEN,Journal,31175034356009,London ; New York :,eng,no.335(2010),1
36,Early English Text Society.,NA,Published for the Early English Text Society by K Paul Trench Trübner & Co and by H Milford Oxford University Press,2016-08-03T01:05:39Z,1864,Other Serial - Physical,GEN,Journal,31175033366074,London ; New York :,eng,no.334 (2009),1
