borrower_id,user_group,creation_date
1,Faculty and Staff,2020-04-10T00:00:00Z
2,Faculty and Staff,2020-05-17T00:00:00Z
3,Faculty and Staff,2020-05-30T00:00:00Z
4,Law Faculty,2020-06-05T00:00:00Z
5,Faculty and Staff,2020-06-19T00:00:00Z
6,Faculty and Staff,2020-07-08T00:00:00Z
7,Faculty and Staff,2020-08-08T00:00:00Z
8,Faculty and Staff,2020-08-13T00:00:00Z
9,Faculty and Staff,2020-08-12T00:00:00Z
10,Graduate Students,2020-08-14T00:00:00Z
11,Faculty and Staff,2020-08-14T00:00:00Z
12,Graduate Students,2020-08-14T00:00:00Z
13,Faculty and Staff,2020-08-14T00:00:00Z
14,Faculty and Staff,2020-08-14T00:00:00Z
15,Faculty and Staff,2020-08-18T00:00:00Z
16,Faculty and Staff,2020-08-22T00:00:00Z
17,Faculty and Staff,2020-09-25T00:00:00Z
18,Faculty and Staff,2020-10-08T00:00:00Z
19,Faculty and Staff,2020-10-16T00:00:00Z
20,Faculty and Staff,2020-11-23T00:00:00Z
21,Law Faculty,2020-12-10T00:00:00Z
22,Faculty and Staff,2021-01-15T00:00:00Z
23,Faculty and Staff,2021-01-23T00:00:00Z
24,Faculty and Staff,2021-03-29T00:00:00Z
25,Faculty and Staff,2021-04-27T00:00:00Z
26,Faculty and Staff,2021-06-14T00:00:00Z
27,Faculty and Staff,2021-07-08T00:00:00Z
28,Faculty and Staff,2021-07-09T00:00:00Z
29,Law Students and Staff,2014-06-18T00:00:00Z
30,Law Students and Staff,2009-02-05T00:00:00Z
31,Law Students and Staff,2007-10-12T00:00:00Z
32,Law Students and Staff,2017-08-24T00:00:00Z
33,Law Students and Staff,2006-02-15T00:00:00Z
34,Law Students and Staff,2003-03-05T00:00:00Z
35,Law Public,2019-09-25T00:00:00Z
36,Law Students and Staff,NA
37,Law Students and Staff,NA
38,Law Students and Staff,NA
39,Law Public,NA
40,Law Students and Staff,2018-03-22T00:00:00Z
41,Law Students and Staff,2017-08-24T00:00:00Z
42,Law Public,2016-12-10T00:00:00Z
43,Law Students and Staff,2016-08-22T00:00:00Z
44,Law Students and Staff,2016-06-27T00:00:00Z
45,Law Public,2019-05-12T00:00:00Z
46,Law Public,2019-01-31T00:00:00Z
47,Law Students and Staff,2019-01-08T00:00:00Z
48,Law Students and Staff,2019-09-03T00:00:00Z
49,Faculty and Staff,2021-08-08T00:00:00Z
50,Faculty and Staff,2021-08-17T00:00:00Z
51,Law Students and Staff,2021-08-19T00:00:00Z
52,Faculty and Staff,2021-08-26T00:00:00Z
53,Graduate Students,2021-08-26T00:00:00Z
54,Network,2021-08-31T00:00:00Z
55,Faculty and Staff,2021-09-03T00:00:00Z
56,Faculty and Staff,2021-09-10T00:00:00Z
57,Graduate Students,2021-09-10T00:00:00Z
58,Faculty and Staff,2021-09-10T00:00:00Z
59,Faculty and Staff,2021-09-10T00:00:00Z
60,Faculty and Staff,2021-09-15T00:00:00Z
61,Faculty and Staff,2021-09-17T00:00:00Z
62,Faculty and Staff,2021-09-22T00:00:00Z
63,Network,2021-10-02T00:00:00Z
64,Faculty and Staff,2021-10-12T00:00:00Z
65,Network,2021-11-03T00:00:00Z
66,Network,2021-11-03T00:00:00Z
67,Alumni and CA Community,2021-11-04T00:00:00Z
68,Faculty and Staff,2021-12-07T00:00:00Z
69,Library Internal,2021-12-15T00:00:00Z
70,Faculty and Staff,2022-01-05T00:00:00Z
71,Network,2022-01-18T00:00:00Z
72,Faculty and Staff,2022-01-21T00:00:00Z
73,Faculty and Staff,2022-02-16T00:00:00Z
74,Network,2022-02-16T00:00:00Z
75,Faculty and Staff,2022-03-03T00:00:00Z
76,Faculty and Staff,2022-03-05T00:00:00Z
77,Faculty and Staff,2022-05-07T00:00:00Z
78,Network,2022-05-18T00:00:00Z
79,Network,2022-05-23T00:00:00Z
80,Health Sciences Graduate Students,2022-06-11T00:00:00Z
81,Network,2022-07-20T00:00:00Z
82,Faculty and Staff,2022-07-22T00:00:00Z
83,Faculty and Staff,2022-08-02T00:00:00Z
84,Faculty and Staff,2022-08-10T00:00:00Z
85,Faculty and Staff,2022-08-11T00:00:00Z
86,Undergraduate students,2022-08-15T00:00:00Z
87,Graduate Students,2022-08-18T00:00:00Z
88,Faculty and Staff,2022-08-19T00:00:00Z
89,Faculty and Staff,2022-08-27T00:00:00Z
90,Faculty and Staff,2022-08-30T00:00:00Z
91,Network,2022-09-01T00:00:00Z
92,Faculty and Staff,2022-09-07T00:00:00Z
93,Faculty and Staff,2022-09-09T00:00:00Z
94,Network,2022-09-14T00:00:00Z
95,Faculty and Staff,2022-09-18T00:00:00Z
96,Faculty and Staff,2022-09-19T00:00:00Z
97,Network,2022-09-24T00:00:00Z
98,Network,2022-09-26T00:00:00Z
99,Faculty and Staff,2022-09-29T00:00:00Z
100,Graduate Students,2022-09-30T00:00:00Z
101,Network,2022-10-08T00:00:00Z
102,Network,2022-10-12T00:00:00Z
103,Network,2022-10-21T00:00:00Z
104,Faculty and Staff,2022-12-13T00:00:00Z
105,Faculty and Staff,1997-07-24T00:00:00Z
106,Faculty and Staff,1997-07-16T00:00:00Z
107,Faculty and Staff,2010-08-23T00:00:00Z
108,Faculty and Staff,2012-07-02T00:00:00Z
109,Faculty and Staff,1991-07-16T00:00:00Z
110,Faculty and Staff,1991-07-31T00:00:00Z
111,Faculty and Staff,2010-08-23T00:00:00Z
112,Faculty and Staff,1991-06-14T00:00:00Z
113,Faculty and Staff,2002-10-01T00:00:00Z
114,Faculty and Staff,2002-10-29T00:00:00Z
115,Faculty and Staff,1989-11-27T00:00:00Z
116,Faculty and Staff,2002-10-11T00:00:00Z
117,Faculty and Staff,2003-07-25T00:00:00Z
118,Faculty and Staff,1995-05-31T00:00:00Z
119,Faculty and Staff,1995-07-26T00:00:00Z
120,Faculty and Staff,2003-06-17T00:00:00Z
121,Faculty and Staff,2003-01-09T00:00:00Z
122,Faculty and Staff,1991-07-18T00:00:00Z
123,Faculty and Staff,2002-12-08T00:00:00Z
124,Faculty and Staff,1995-01-17T00:00:00Z
125,Faculty and Staff,2003-09-12T00:00:00Z
126,Law Faculty,2003-09-09T00:00:00Z
127,Faculty and Staff,2003-01-29T00:00:00Z
128,Faculty and Staff,1991-05-15T00:00:00Z
129,Faculty and Staff,2003-08-18T00:00:00Z
130,Faculty and Staff,2003-04-08T00:00:00Z
131,Faculty and Staff,2002-12-19T00:00:00Z
132,Faculty and Staff,1991-07-16T00:00:00Z
133,Faculty and Staff,2003-02-07T00:00:00Z
134,Faculty and Staff,1994-11-28T00:00:00Z
135,Alumni and CA Community,2009-04-11T00:00:00Z
136,Faculty and Staff,2000-09-05T00:00:00Z
137,Faculty and Staff,2000-02-14T00:00:00Z
138,Law Faculty,2000-05-19T00:00:00Z
139,Faculty and Staff,2000-08-30T00:00:00Z
140,Faculty and Staff,1993-09-02T00:00:00Z
141,Faculty and Staff,1993-09-02T00:00:00Z
142,Faculty and Staff,2000-06-19T00:00:00Z
143,Faculty and Staff,1999-12-10T00:00:00Z
144,Faculty and Staff,2000-09-13T00:00:00Z
145,Faculty and Staff,1999-10-08T00:00:00Z
146,Faculty and Staff,1990-12-21T00:00:00Z
147,Faculty and Staff,1991-01-23T00:00:00Z
148,Faculty and Staff,1991-05-10T00:00:00Z
149,Faculty and Staff,1999-10-01T00:00:00Z
150,Faculty and Staff,1991-07-23T00:00:00Z
151,Faculty and Staff,2007-10-16T00:00:00Z
152,Faculty and Staff,2007-10-25T00:00:00Z
153,Faculty and Staff,2007-08-30T00:00:00Z
154,Faculty and Staff,2007-10-04T00:00:00Z
155,Faculty and Staff,1991-04-16T00:00:00Z
156,Faculty and Staff,2007-09-19T00:00:00Z
157,Faculty and Staff,2007-09-20T00:00:00Z
158,Faculty and Staff,2007-09-10T00:00:00Z
159,Faculty and Staff,2007-09-24T00:00:00Z
160,Faculty and Staff,2009-09-01T00:00:00Z
161,Faculty and Staff,2009-09-01T00:00:00Z
162,Faculty and Staff,2015-09-01T00:00:00Z
163,Faculty and Staff,1997-10-16T00:00:00Z
164,Faculty and Staff,2015-09-01T00:00:00Z
165,Faculty and Staff,2004-12-16T00:00:00Z
166,Alumni and CA Community,2005-08-01T00:00:00Z
167,Faculty and Staff,2005-08-16T00:00:00Z
168,Faculty and Staff,1991-07-18T00:00:00Z
169,Faculty and Staff,2005-07-28T00:00:00Z
170,Faculty and Staff,2004-12-10T00:00:00Z
171,Faculty and Staff,2005-01-20T00:00:00Z
172,Faculty and Staff,1991-06-19T00:00:00Z
173,Faculty and Staff,1991-03-17T00:00:00Z
174,Faculty and Staff,2013-01-13T00:00:00Z
175,Faculty and Staff,2013-03-14T00:00:00Z
176,Faculty and Staff,2013-05-06T00:00:00Z
177,Faculty and Staff,2012-12-13T00:00:00Z
178,Faculty and Staff,2012-12-12T00:00:00Z
179,Faculty and Staff,2012-12-11T00:00:00Z
180,Faculty and Staff,1991-06-27T00:00:00Z
181,Faculty and Staff,2006-04-21T00:00:00Z
182,Faculty and Staff,2006-01-03T00:00:00Z
183,Faculty and Staff,2006-02-06T00:00:00Z
184,Faculty and Staff,2006-01-12T00:00:00Z
185,Faculty and Staff,2006-01-05T00:00:00Z
186,Faculty and Staff,1991-07-17T00:00:00Z
187,Faculty and Staff,2011-08-22T00:00:00Z
188,Law Faculty,1997-06-26T00:00:00Z
189,Faculty and Staff,2006-08-01T00:00:00Z
190,Faculty and Staff,1996-07-18T00:00:00Z
