station,temp,YY,MM,DD,hh,mm
bdxc1,14.76244541,2015,11,1,23,0
bdxc1,14.86,2015,11,2,23,0
bdxc1,14.24050633,2015,11,3,23,0
bdxc1,13.05875,2015,11,4,23,0
bdxc1,12.82875,2015,11,5,23,0
bdxc1,13.01166667,2015,11,6,23,0
bdxc1,13.41882845,2015,11,7,23,0
bdxc1,13.965,2015,11,8,23,0
bdxc1,14.14175258,2015,11,9,23,0
bdxc1,14.8257384,2015,11,10,23,0
bdxc1,13.47666667,2015,11,11,23,0
bdxc1,13.63333333,2015,11,12,23,0
bdxc1,13.51380753,2015,11,13,23,0
bdxc1,13.64583333,2015,11,14,23,0
bdxc1,13.73875,2015,11,15,23,0
bdxc1,12.98583333,2015,11,16,23,0
bdxc1,12.47932489,2015,11,17,23,0
bdxc1,12.20541667,2015,11,18,23,0
bdxc1,11.77416667,2015,11,19,23,0
bdxc1,11.541841,2015,11,20,23,0
bdxc1,11.64728033,2015,11,21,23,0
bdxc1,11.83797468,2015,11,22,23,0
bdxc1,12.1725,2015,11,23,23,0
bdxc1,12.33041667,2015,11,24,23,0
bdxc1,12.00583333,2015,11,25,23,0
bdxc1,11.75958333,2015,11,26,23,0
bdxc1,11.68451883,2015,11,27,23,0
bdxc1,11.50208333,2015,11,28,23,0
bdxc1,11.55833333,2015,11,29,23,0
bdxc1,11.62803347,2015,11,30,23,0
bdxc1,12.10995671,2015,12,1,23,0
bdxc1,12.27150259,2015,12,2,23,0
bdxc1,12.13043478,2015,12,3,23,0
bdxc1,12.24208333,2015,12,4,23,0
bdxc1,12.32259414,2015,12,5,23,0
bdxc1,12.70878661,2015,12,6,23,0
bdxc1,13.7251046,2015,12,7,23,0
bdxc1,13.65941423,2015,12,8,23,0
bdxc1,13.57405858,2015,12,9,23,0
bdxc1,14.03966245,2015,12,10,23,0
bdxc1,13.84708333,2015,12,11,23,0
bdxc1,13.75546218,2015,12,12,23,0
bdxc1,13.76276151,2015,12,13,23,0
bdxc1,13.25230126,2015,12,14,23,0
bdxc1,13.13907563,2015,12,15,23,0
bdxc1,12.60974576,2015,12,16,23,0
bdxc1,12.63958333,2015,12,17,23,0
bdxc1,12.80083682,2015,12,18,23,0
bdxc1,13.38166667,2015,12,19,23,0
bdxc1,13.14125,2015,12,20,23,0
bdxc1,12.77543103,2015,12,21,23,0
bdxc1,12.9874477,2015,12,22,23,0
bdxc1,12.83208333,2015,12,23,23,0
bdxc1,12.70585774,2015,12,24,23,0
bdxc1,12.45433526,2015,12,25,23,0
bdxc1,12.30833333,2015,12,26,23,0
bdxc1,12.03708333,2015,12,27,23,0
bdxc1,11.44495798,2015,12,28,23,0
bdxc1,11.69583333,2015,12,29,23,0
bdxc1,11.48870293,2015,12,30,23,0
bdxc1,11.10416667,2015,12,31,23,0
bdxc1,11.07310924,2016,1,1,23,0
bdxc1,11.27583333,2016,1,2,23,0
bdxc1,11.17291667,2016,1,3,23,0
bdxc1,11.37708333,2016,1,4,23,0
